sample_id,label
S0000,0
S0001,1
S0002,0
S0003,1
S0004,0
S0005,1
S0006,0
S0007,0
S0008,1
S0009,1
S0010,1
S0011,0
S0012,0
S0013,0
S0014,0
S0015,0
S0016,0
S0017,1
S0018,0
S0019,1
S0020,0
S0021,1
S0022,0
S0023,0
S0024,0
S0025,0
S0026,1
S0027,0
S0028,0
S0029,0
S0030,0
S0031,0
S0032,0
S0033,1
S0034,1
S0035,0
S0036,0
S0037,0
S0038,0
S0039,1
S0040,1
S0041,0
S0042,0
S0043,0
S0044,0
S0045,0
S0046,1
S0047,1
S0048,1
S0049,0
S0050,1
S0051,0
S0052,0
S0053,0
S0054,1
S0055,1
S0056,1
S0057,1
S0058,0
S0059,0
S0060,0
S0061,0
S0062,0
S0063,0
S0064,0
S0065,0
S0066,0
S0067,0
S0068,1
S0069,0
S0070,0
S0071,0
S0072,1
S0073,0
S0074,0
S0075,1
S0076,1
S0077,0
S0078,0
S0079,1
S0080,0
S0081,0
S0082,0
S0083,0
S0084,0
S0085,1
S0086,1
S0087,1
S0088,0
S0089,1
S0090,0
S0091,1
S0092,0
S0093,1
S0094,1
S0095,1
S0096,0
S0097,0
S0098,1
S0099,1
S0100,1
S0101,0
S0102,1
S0103,0
S0104,1
S0105,0
S0106,1
S0107,0
S0108,0
S0109,0
S0110,0
S0111,0
S0112,1
S0113,1
S0114,1
S0115,1
S0116,1
S0117,1
S0118,0
S0119,0
S0120,0
S0121,1
S0122,0
S0123,0
S0124,0
S0125,1
S0126,0
S0127,0
S0128,0
S0129,0
S0130,0
S0131,1
S0132,1
S0133,0
S0134,1
S0135,1
S0136,1
S0137,0
S0138,1
S0139,1
S0140,0
S0141,0
S0142,0
S0143,0
S0144,0
S0145,0
S0146,0
S0147,0
S0148,1
S0149,0
S0150,0
S0151,1
S0152,0
S0153,0
S0154,0
S0155,0
S0156,0
S0157,1
S0158,0
S0159,1
S0160,0
S0161,1
S0162,1
S0163,0
S0164,0
S0165,0
S0166,0
S0167,1
S0168,0
S0169,0
S0170,0
S0171,1
S0172,0
S0173,1
S0174,0
S0175,0
S0176,0
S0177,0
S0178,1
S0179,0
S0180,1
S0181,0
S0182,0
S0183,1
S0184,1
S0185,0
S0186,0
S0187,0
S0188,1
S0189,0
S0190,0
S0191,0
S0192,0
S0193,0
S0194,1
S0195,0
S0196,1
S0197,1
S0198,0
S0199,0
S0200,0
S0201,0
S0202,0
S0203,0
S0204,0
S0205,0
S0206,1
S0207,0
S0208,1
S0209,0
S0210,1
S0211,1
S0212,0
S0213,0
S0214,0
S0215,0
S0216,0
S0217,0
S0218,1
S0219,1
S0220,0
S0221,0
S0222,0
S0223,0
S0224,0
S0225,0
S0226,0
S0227,0
S0228,0
S0229,0
S0230,1
S0231,0
S0232,0
S0233,1
S0234,1
S0235,1
S0236,0
S0237,0
S0238,0
S0239,1
