disease_group,method,AUC,Accuracy,FPR,TPR
alldisease,SPRINT,67.69655555555556,63.20722222222222,36.76961111111111,63.162777777777784
alldisease,SPRINT_NO,65.09761111111112,61.61172222222222,38.38038888888889,61.00038888888889
alldisease,Single PRS,62.30561111111111,59.62722222222222,40.30977777777778,58.591833333333334
autoimmune,SPRINT,69.8824,64.7962,35.1554,65.1506
autoimmune,SPRINT_NO,68.3994,63.83,36.1738,64.0368
autoimmune,Single PRS,63.1366,61.7636,38.1314,57.10119999999999
cancer,SPRINT,63.65,59.78733333333333,40.23866666666667,60.053666666666665
cancer,SPRINT_NO,60.321,57.964999999999996,42.00066666666667,57.147
cancer,Single PRS,61.433666666666674,56.15866666666667,43.97733333333334,60.67433333333333
cardiovascular,SPRINT,65.28966666666666,61.25133333333333,38.74533333333333,61.11433333333334
cardiovascular,SPRINT_NO,63.68566666666667,60.469,39.480333333333334,59.379333333333335
cardiovascular,Single PRS,58.40866666666667,56.16466666666667,43.790333333333336,55.935
neurological,SPRINT,65.16733333333333,62.46099999999999,37.52033333333333,61.02066666666667
neurological,SPRINT_NO,63.75033333333334,62.413999999999994,37.56166666666667,59.316
neurological,Single PRS,62.92666666666667,60.910333333333334,39.084,60.312666666666665
other,SPRINT,71.70125,65.8125,34.14075,66.15275
other,SPRINT_NO,66.62225000000001,61.82925,38.2125,62.574
other,Single PRS,64.37774999999999,61.192750000000004,38.591,59.59525
