disease_group,method,AUC,Accuracy,FPR,TPR
alldisease,SPRINT,68.7935,63.442499999999995,36.562,63.9995
alldisease,SPRINT_NO,64.1155,60.536,39.407,60.575
alldisease,Single PRS,61.031,59.714,40.2565,59.423500000000004
autoimmune,SPRINT,69.235,66.923,32.87,65.549
autoimmune,SPRINT_NO,67.816,64.252,35.746,63.077
autoimmune,Single PRS,61.25,61.628,38.37,57.662
cancer,SPRINT,62.098,58.323,41.73,59.677
cancer,SPRINT_NO,61.827,58.428,41.602,58.893
cancer,Single PRS,59.898,54.981,45.201,59.63
cardiovascular,SPRINT,64.632,60.263,39.777,61.145
cardiovascular,SPRINT_NO,64.661,60.093,39.959,60.589
cardiovascular,Single PRS,53.543,51.64,48.42,53.782
neurological,SPRINT,65.519,59.611,40.407,62.602
neurological,SPRINT_NO,61.59,60.508,39.478,58.76
neurological,Single PRS,64.001,60.37,39.633,60.947
other,SPRINT,72.816,66.7775,33.176,66.112
other,SPRINT_NO,65.555,61.052499999999995,38.888999999999996,63.1785
other,Single PRS,64.69,62.1245,37.741,58.8795
